2.453965540589999873e+06 4.686261941205608537e+02 -2.573999999999999844e+00 5.489000000000000012e-14
2.453965544460000005e+06 5.296950281576405359e+02 -2.516000000000000014e+00 5.597999999999999850e-14
2.453965548320000060e+06 6.502905539580475534e+02 -1.635000000000000009e+00 3.829999999999999836e-14
2.453965552170000039e+06 7.630519970082236796e+02 -9.220000000000000417e-01 2.256999999999999874e-14
2.453965556040000170e+06 6.863766831617534763e+02 -1.727000000000000091e+00 3.686999999999999840e-14
2.453965559900000226e+06 4.415461757950837409e+02 -3.732000000000000206e+00 5.036999999999999767e-14
2.453965563800000120e+06 1.440360883600845341e+02 -7.229000000000000092e+00 5.864999999999999495e-14
2.453965567720000166e+06 2.598818159575969844e+02 -8.532000000000000028e+00 5.199999999999999931e-14
2.453965571580000222e+06 1.632203382444278077e+02 -8.832000000000000739e+00 7.059000000000000517e-14
2.453965575449999887e+06 2.632128432687134705e+02 -5.738000000000000433e+00 5.839000000000000414e-14
2.453965579320000019e+06 2.213282591160331947e+02 -4.041999999999999815e+00 4.924999999999999840e-14
2.453965581590000074e+06 1.993681531390928399e+02 -3.253000000000000114e+00 3.319999999999999990e-14
2.453965581590000074e+06 1.993681531390928399e+02 -3.253000000000000114e+00 3.319999999999999990e-14
