# HJD Ha red yellow Hb He2 blue
2453965.55184 19.64 13.86 12.26 9.92 10.93 11.29
2453965.55198 17.26 15.82 12.70 8.93 13.05 10.12
2453965.55211 20.12 12.27 11.89 14.65 19.30 8.56
2453965.55224 19.33 16.03 13.89 17.83 12.21 12.02
2453965.55236 14.19 14.70 11.00 9.94 12.66 10.33
2453965.55249 19.68 15.17 11.48 15.44 12.69 9.24
2453965.55263 17.05 13.20 12.81 10.83 11.89 10.60
2453965.55276 14.68 11.51 12.16 8.12 12.97 8.93
2453965.55289 12.35 13.71 11.50 11.31 14.98 9.72
2453965.55301 20.48 10.50 13.70 14.93 16.10 10.44
2453965.55314 13.90 11.14 9.68 8.35 13.13 8.98
2453965.55327 13.37 13.10 13.02 11.02 25.88 9.50
2453965.55339 15.22 15.30 13.20 11.61 12.82 9.47
2453965.55352 14.93 12.90 15.14 11.10 12.41 12.55
2453965.55365 14.07 15.04 17.65 13.98 10.52 9.13
2453965.55379 19.02 14.56 11.10 12.57 22.70 8.24
2453965.55392 17.25 15.50 12.51 14.49 22.02 11.00
2453965.55404 18.28 14.20 13.10 13.31 10.98 10.69
2453965.55417 16.41 14.09 15.75 9.13 16.63 10.32
2453965.5543 16.68 12.91 12.60 12.56 13.84 9.45
2453965.55442 12.68 9.56 9.70 10.05 12.32 8.57
2453965.55455 13.74 15.72 9.29 11.80 11.62 7.84
2453965.55469 21.87 11.49 11.85 9.41 12.74 8.70
2453965.55482 21.86 13.67 12.99 12.05 11.52 9.99
2453965.55495 19.07 15.82 10.45 10.28 11.87 9.41
2453965.55507 25.26 16.30 12.83 17.38 14.07 10.22
2453965.5552 15.18 11.22 12.81 11.08 13.52 9.05
2453965.55533 16.15 11.90 12.20 11.84 13.21 10.63
2453965.55547 21.44 13.66 11.74 12.86 15.68 10.47
2453965.55559 13.46 11.01 9.99 9.70 11.57 8.12
2453965.55572 12.54 10.06 8.29 10.68 13.17 8.86
2453965.55585 16.83 12.73 11.98 10.94 14.33 9.74
2453965.55598 18.41 16.11 14.08 16.26 15.51 8.84
2453965.5561 22.07 15.27 13.40 18.79 11.83 10.25
2453965.55623 18.47 14.17 11.53 14.23 8.63 9.94
2453965.55636 18.66 10.93 11.78 12.70 14.66 9.06
2453965.5565 20.23 13.19 13.52 12.00 13.55 9.69
2453965.55662 20.68 11.18 9.31 11.49 11.74 7.06
2453965.55675 24.88 9.18 10.79 15.42 8.97 7.97
2453965.55688 20.49 10.71 11.78 8.92 10.66 8.20
2453965.55701 29.27 12.97 11.54 11.35 27.29 8.25
2453965.55713 15.58 8.23 7.91 10.73 14.79 5.79
2453965.55727 13.76 9.82 8.21 9.31 4.14 7.35
2453965.5574 19.56 11.24 11.99 14.93 14.49 8.75
2453965.55753 22.11 9.98 11.81 10.81 15.77 9.38
2453965.55765 13.18 8.67 9.53 9.33 18.60 7.28
2453965.55778 14.59 8.79 7.54 8.90 11.20 7.27
2453965.55791 10.89 7.89 8.42 8.75 7.96 5.89
2453965.55804 10.03 6.68 6.71 5.70 7.79 5.24
2453965.55816 15.79 8.55 9.25 9.44 13.13 8.45
