2.453964281412899960e+06 1.220899999999999963e+01 1.230020000000000024e+01 2.500000000000000052e-03 5.289000000000000000e+04 1.129999999999999893e+00 1.378306000000000031e+00
2.453964281482399907e+06 1.222630000000000017e+01 1.232169999999999987e+01 2.399999999999999790e-03 5.176200000000000000e+04 1.040000000000000036e+00 1.377976000000000090e+00
2.453964281551800203e+06 1.222530000000000072e+01 1.232690000000000019e+01 2.500000000000000052e-03 5.154100000000000000e+04 1.090000000000000080e+00 1.377645999999999926e+00
2.453964281621300150e+06 1.222279999999999944e+01 1.231859999999999999e+01 2.799999999999999972e-03 5.275300000000000000e+04 1.260000000000000009e+00 1.377315999999999985e+00
2.453964281690699980e+06 1.222540000000000049e+01 1.232440000000000069e+01 2.500000000000000052e-03 5.223900000000000000e+04 1.149999999999999911e+00 1.376986999999999961e+00
2.453964281760099810e+06 1.223249999999999993e+01 1.232479999999999976e+01 2.500000000000000052e-03 5.174100000000000000e+04 1.159999999999999920e+00 1.376657999999999937e+00
2.453964281829600222e+06 1.222579999999999956e+01 1.232300000000000040e+01 3.000000000000000062e-03 5.324700000000000000e+04 1.429999999999999938e+00 1.376328999999999914e+00
2.453964281899000052e+06 1.222460000000000058e+01 1.232179999999999964e+01 2.500000000000000052e-03 5.204500000000000000e+04 1.120000000000000107e+00 1.375999999999999890e+00
2.453964281968499999e+06 1.223099999999999987e+01 1.232680000000000042e+01 2.500000000000000052e-03 5.234900000000000000e+04 1.050000000000000044e+00 1.375672000000000006e+00
2.453964282037899829e+06 1.223160000000000025e+01 1.232649999999999935e+01 2.500000000000000052e-03 5.223400000000000000e+04 1.169999999999999929e+00 1.375342999999999982e+00
2.453964282107399777e+06 1.224460000000000015e+01 1.234779999999999944e+01 2.599999999999999881e-03 5.108000000000000000e+04 1.169999999999999929e+00 1.375016000000000016e+00
2.453964282176800072e+06 1.223359999999999914e+01 1.232290000000000063e+01 2.500000000000000052e-03 5.210800000000000000e+04 1.169999999999999929e+00 1.374687999999999910e+00
2.453964282246300019e+06 1.222910000000000075e+01 1.232820000000000071e+01 2.700000000000000143e-03 5.191600000000000000e+04 1.149999999999999911e+00 1.374360999999999944e+00
