  6560.199 7.7840E-9 1.1033E-7    -14.17 6.1613E-9     16.82        0.
  6559.842 7.3703E-9 1.0836E-7     -14.7 5.2794E-9     19.28        0.
  6560.722 7.3820E-9 1.2371E-7    -16.76 5.0295E-9     23.11        0.
  6558.945 7.1958E-9 9.3717E-8    -13.02 4.0345E-9     21.82        0.
  6558.357 6.3033E-9 7.6706E-8    -12.17 3.0688E-9     23.48        0.
  6561.302 4.7242E-9 8.9005E-8    -18.84 3.3541E-9     24.93        0.
  6562.626 3.3720E-9 9.2665E-8    -27.48 3.6415E-9     23.91        0.
  6560.379 2.7289E-9 6.9898E-8    -25.61 2.7830E-9     23.59        0.
  6554.23 3.8203E-9 5.1827E-8    -13.57 3.3591E-9     14.49        0.
  6554.101 5.2175E-9 6.0546E-8     -11.6 3.7049E-9     15.35        0.
  6557.595 6.4617E-9 8.1111E-8    -12.55 3.2062E-9     23.77        0.
  6557.216 6.9941E-9 6.9350E-8    -9.916 2.7121E-9     24.02        0.
