# HJD Ha red yellow Hb He2 blue
2453965.55184 19.89 13.70 12.93 9.94 11.04 10.62
2453965.55198 17.51 15.26 12.99 9.13 13.34 8.50
2453965.55211 20.68 12.43 12.39 15.29 18.44 8.31
2453965.55224 19.63 16.04 14.57 18.33 12.14 11.33
2453965.55236 14.37 14.44 11.60 10.10 12.87 9.39
2453965.55249 20.22 14.96 11.96 15.63 12.98 8.50
2453965.55263 17.36 13.48 13.39 11.16 12.14 9.23
2453965.55276 14.89 11.77 12.61 8.08 12.96 8.44
2453965.55289 12.50 13.92 12.13 11.25 15.40 9.51
2453965.55301 20.99 10.93 13.89 14.92 16.44 9.96
2453965.55314 14.12 11.17 10.13 8.49 13.36 8.47
2453965.55327 13.57 12.92 12.96 11.24 25.06 9.56
2453965.55339 15.41 14.87 13.40 11.51 12.67 9.30
2453965.55352 15.02 13.00 15.25 11.19 12.57 11.90
2453965.55365 14.36 15.33 19.67 14.41 10.58 8.63
2453965.55379 19.32 14.53 11.61 13.15 23.96 8.47
2453965.55392 17.56 15.29 13.02 14.83 21.92 10.72
2453965.55404 18.54 14.01 14.17 13.66 11.02 10.46
2453965.55417 16.79 14.13 16.95 9.39 16.40 9.72
2453965.5543 16.85 13.04 13.19 12.72 14.10 8.29
2453965.55442 12.83 9.69 10.05 10.45 12.33 8.81
2453965.55455 13.93 15.49 9.85 12.10 11.66 8.13
2453965.55469 22.19 11.09 12.70 9.50 12.82 8.43
2453965.55482 22.02 13.75 14.06 12.29 11.29 9.26
2453965.55495 19.46 15.57 10.93 10.34 11.78 8.81
2453965.55507 25.24 16.64 13.05 18.16 14.11 10.16
2453965.5552 15.33 11.20 13.02 11.48 13.61 8.47
2453965.55533 15.93 12.06 12.42 11.68 13.17 10.67
2453965.55547 21.44 13.56 12.20 13.09 15.54 9.56
2453965.55559 13.44 10.95 10.21 9.70 11.59 7.67
2453965.55572 12.57 10.37 8.65 10.50 13.04 7.98
2453965.55585 16.84 12.51 12.58 11.07 14.05 8.65
2453965.55598 18.43 16.41 14.89 16.28 15.06 8.75
2453965.5561 22.62 15.39 13.69 19.56 11.68 9.64
2453965.55623 18.73 13.66 12.26 14.95 8.59 8.81
2453965.55636 18.66 11.09 12.16 12.89 14.80 8.40
2453965.5565 20.43 13.22 14.66 12.05 13.40 9.58
2453965.55662 20.65 11.21 9.39 11.88 11.80 6.97
2453965.55675 24.60 9.35 10.79 15.95 8.90 8.05
2453965.55688 20.74 10.52 11.75 8.95 10.48 8.22
2453965.55701 29.07 12.96 11.43 11.43 26.66 8.54
2453965.55713 15.57 8.09 8.06 10.70 14.21 5.64
2453965.55727 13.88 10.11 8.49 9.24 4.14 7.16
2453965.5574 19.91 11.40 12.43 14.91 14.32 7.89
2453965.55753 22.26 9.74 12.19 10.97 15.62 8.99
2453965.55765 13.21 8.69 9.48 9.36 17.92 7.54
2453965.55778 14.63 8.78 7.62 8.83 11.02 7.32
2453965.55791 11.02 7.78 8.51 8.84 7.99 5.78
2453965.55804 10.09 6.62 6.99 5.74 7.80 5.22
2453965.55816 15.96 8.39 9.69 9.45 12.88 9.17
2453965.55829 17.15 12.65 9.75 10.91 12.95 8.21
2453965.55842 32.39 10.03 10.01 7.82 11.05 6.73
2453965.55855 19.35 8.50 7.56 8.87 6.91 6.36
2453965.55867 23.54 10.49 9.04 11.07 14.12 6.75
2453965.5588 16.38 8.62 7.90 12.00 10.82 7.11
2453965.55894 13.58 9.97 9.86 9.89 9.73 2.33
2453965.55907 12.09 8.68 8.08 7.93 7.38 6.75
2453965.55919 15.60 8.26 7.41 8.55 13.19 5.52
2453965.55932 14.37 9.17 8.98 9.03 14.05 7.26
2453965.55945 9.94 8.92 8.51 11.49 9.27 7.66
2453965.55959 18.54 7.79 9.47 7.63 12.80 6.40
2453965.55971 17.62 8.68 8.54 10.75 9.84 7.54
2453965.55984 14.71 7.38 6.67 6.54 6.23 5.34
2453965.55997 9.48 6.34 5.74 5.52 6.94 3.73
2453965.5601 11.75 8.17 7.97 8.74 9.84 4.86
2453965.56022 9.37 7.71 6.34 9.08 7.71 4.04
2453965.56035 7.61 9.90 6.84 5.44 6.49 4.21
2453965.56049 21.31 6.94 7.42 5.31 8.16 5.53
